Species,Treatment,Core,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Colony
O.faveolata,Bleached,1-36-b,Recovery,0.006753367,0.00537255,-2.269819572,0.51,0,0,1,NaN,31,10/07/2019,B,0.753003749,36
O.faveolata,Bleached,1-36-c,Post-bleach,3.48E-04,0.000276741,-3.557926923,0.267,0,0,2,7.86,NaN,09/12/2019,B,0.303637583,36
O.faveolata,Bleached,1-36-c,Pre-bleach,0.058287187,0.046369584,-1.3337668,0.541,0,0,2,0,NaN,17/11/2019,B,0.015152066,36
O.faveolata,Bleached,1-36-c,Recovery,0.001811449,3.39E-05,-4.469886007,0.386,1,1,2,NaN,31,09/01/2020,B,0.753003749,36
O.faveolata,Bleached,1-4-a,Post-bleach,0.002153375,0.000353842,-3.451191208,0.132,0.812559157,0.092523851,1,11.64,NaN,23/06/2019,B,0.303637583,4
O.faveolata,Bleached,1-4-a,Pre-bleach,0.035056739,0.02619741,-1.581741647,0.532,0.062112372,0.001555174,1,0,NaN,22/05/2019,B,0.015152066,4
O.faveolata,Bleached,1-4-a,Pre-outplant,0.328589912,0.006148116,-2.211257949,0.319,1,1,1,NaN,52,14/08/2019,B,0.758547582,4
O.faveolata,Bleached,1-4-a,Recovery,0.353886858,0.006621437,-2.17904774,0.36,1,1,1,NaN,31,24/07/2019,B,0.753003749,4
O.faveolata,Bleached,1-4-b,Post-bleach,0.007018411,0.000131319,-3.881673395,0.232,1,1,1,12.64,NaN,25/06/2019,B,0.303637583,4
O.faveolata,Bleached,1-4-b,Pre-bleach,0.097802123,0.032383528,-1.489675841,0.551,0.597847944,0.033783348,1,0,NaN,22/05/2019,B,0.015152066,4
O.faveolata,Bleached,1-4-b,Pre-outplant,0.251627254,0.004708098,-2.327154498,0.339,1,1,1,NaN,50,14/08/2019,B,0.758547582,4
O.faveolata,Bleached,1-4-b,Recovery,0.187421724,0.003506774,-2.455092246,0.361,1,1,1,NaN,31,26/07/2019,B,0.753003749,4
O.faveolata,Bleached,1-4-c,Post-bleach,0.003480939,0.000610297,-3.214458451,1.94E-01,0.798391233,0.085203702,2,11.36,NaN,16/12/2019,B,0.303637583,4
O.faveolata,Bleached,1-4-c,Pre-bleach,0.014647747,0.011652817,-1.933569067,0.563,0,0,2,0,NaN,17/11/2019,B,0.015152066,4
O.faveolata,Bleached,1-4-c,Pre-outplant,0.351077171,0.006568866,-2.182509585,0.333,1,1,2,NaN,81,05/03/2020,B,0.758547582,4
O.faveolata,Bleached,1-4-c,Recovery,0.076169651,0.00142518,-2.84613021,0.265,1,1,2,NaN,31,16/01/2020,B,0.753003749,4
O.faveolata,Control,1-62-a,Post-bleach,0.056204233,0.044712518,-1.349570875,NA,0,0,1,NaN,NaN,07/06/2019,NA,NA,62
O.faveolata,Control,1-62-a,Pre-bleach,0.032073394,0.023072571,-1.636904006,NA,0.095744887,0,1,NaN,NaN,22/05/2019,NA,NA,62
O.faveolata,Control,1-62-a,Pre-outplant,0.025450232,0.020246588,-1.69364816,NA,0,0,1,NaN,NaN,14/08/2019,NA,NA,62
O.faveolata,Bleached,1-62-b,Post-bleach,4.60E-04,0.000366175,-3.436310805,0.053,0,0,1,10.64,NaN,21/06/2019,B,0.303637583,62
O.faveolata,Bleached,1-62-b,Pre-bleach,0.037481502,0.029817903,-1.525522907,0.52,0,0,1,0,NaN,22/05/2019,B,0.015152066,62
O.faveolata,Bleached,1-62-b,Pre-outplant,0.301840875,0.005647625,-2.248134124,0.404,1,1,1,NaN,54,14/08/2019,B,0.758547582,62
O.faveolata,Bleached,1-62-b,Recovery,7.70E-05,1.44E-06,-5.841679697,0.335,1,1,1,NaN,31,22/07/2019,B,0.753003749,62
O.faveolata,Bleached,1-62-c,Post-bleach,6.32E-04,0.000503166,-3.298288552,2.55E-01,0,0,2,9.36,NaN,12/12/2019,B,0.303637583,62
O.faveolata,Bleached,1-62-c,Pre-bleach,0.026826871,0.021341754,-1.67076988,0.563,0,0,2,0,NaN,17/11/2019,B,0.015152066,62
O.faveolata,Bleached,1-62-c,Pre-outplant,0.257670529,0.017932755,-1.746352982,0.392,0.934496166,0.2512367,2,NaN,85,05/03/2020,B,0.758547582,62
O.faveolata,Bleached,1-62-c,Recovery,5.75E-04,0.000457583,-3.339529661,0.292,0,0,2,NaN,31,12/01/2020,B,0.753003749,62
O.faveolata,Bleached,1-62-d,Post-bleach,0.001005287,0.000799742,-3.09705,2.87E-01,0,0,2,9.36,NaN,12/12/2019,B,0.303637583,62
O.faveolata,Bleached,1-62-d,Pre-bleach,0.092226336,0.073369415,-1.134484943,0.566,0,0,2,0,NaN,17/11/2019,B,0.015152066,62
O.faveolata,Bleached,1-62-d,Recovery,4.38E-04,0.000348108,-3.458285995,0.421,0,0,2,NaN,31,12/01/2020,B,0.753003749,62
O.faveolata,Bleached,1-64-a,Post-bleach,0.083178824,0.001556326,-2.807899401,0.259,1,1,1,13.64,NaN,01/07/2019,D,1,64
O.faveolata,Bleached,1-64-a,Pre-bleach,1.232526682,0.027206026,-1.565334885,0.561,0.995671137,0.843985446,1,0,NaN,22/05/2019,D,0.976918506,64
O.faveolata,Bleached,1-64-a,Pre-outplant,1.03839842,0.019429062,-1.711548156,0.349,1,1,1,NaN,44,14/08/2019,D,1,64
O.faveolata,Bleached,1-64-a,Recovery,1.150977869,0.021535492,-1.666845202,0.389,1,1,1,NaN,31,01/08/2019,D,1,64
O.faveolata,Control,1-64-b,Post-bleach,1.420871233,0.031102063,-1.507210803,NA,0.995907929,0.851280214,1,NaN,NaN,07/06/2019,NA,NA,64
O.faveolata,Control,1-64-b,Pre-bleach,1.558664084,0.032892499,-1.482903128,NA,0.996920285,0.883901587,1,NaN,NaN,22/05/2019,NA,NA,64
O.faveolata,Control,1-64-b,Pre-outplant,1.95570556,0.037465262,-1.426371223,NA,0.999425485,0.976141862,1,NaN,NaN,14/08/2019,NA,NA,64
O.faveolata,Bleached,1-64-c,Post-bleach,0.272789514,0.005104057,-2.292084503,1.40E-01,1,1,2,13.29,NaN,19/12/2019,D,1,64
