Species,Core,Colony,Timepoint,PropD,PropD0
S.siderea,2-35-b,35,2,NA,1
S.siderea,2-35-b,35,3,1,1
S.siderea,2-35-c,35,1,1,1
S.siderea,2-35-c,35,2,1,1
S.siderea,2-35-c,35,3,1,1
S.siderea,2-41-a,41,1,0.990259048,1
S.siderea,2-41-a,41,2,1,1
S.siderea,2-41-a,41,3,1,1
S.siderea,2-41-c,41,1,1,0.988140487
S.siderea,2-41-c,41,2,1,0.988140487
S.siderea,2-41-c,41,3,1,0.988140487
S.siderea,2-41-d,41,1,1,0.88518018
S.siderea,2-41-d,41,2,1,0.88518018
S.siderea,2-41-d,41,3,1,0.88518018
S.siderea,2-48-a,48,1,NA,NA
S.siderea,2-48-a,48,2,NA,NA
S.siderea,2-48-a,48,3,NA,NA
S.siderea,2-48-b,48,1,NA,NA
S.siderea,2-48-b,48,2,NA,NA
S.siderea,2-48-b,48,3,0,NA
S.siderea,2-48-c,48,1,NA,NA
S.siderea,2-48-c,48,2,NA,NA
S.siderea,2-48-c,48,3,0.996044208,NA
S.siderea,2-48-d,48,1,NA,NA
S.siderea,2-48-d,48,2,NA,NA
S.siderea,2-48-d,48,3,0.998768934,NA
M.cavernosa,3-100-a,100,1,0,0
M.cavernosa,3-100-a,100,2,0.938906619,0
M.cavernosa,3-100-a,100,3,0.996842401,0
M.cavernosa,3-100-b,100,1,0,0
M.cavernosa,3-100-b,100,2,0,0
M.cavernosa,3-100-b,100,3,0.988114418,0
M.cavernosa,3-100-c,100,1,0,0
M.cavernosa,3-100-c,100,2,0.984085758,0
M.cavernosa,3-100-c,100,3,0.998961938,0
M.cavernosa,3-2-b,2,1,0,0
M.cavernosa,3-2-b,2,2,0,0
M.cavernosa,3-2-b,2,3,0.993029323,0
M.cavernosa,3-2-c,2,1,NA,0
M.cavernosa,3-2-c,2,2,NA,0
M.cavernosa,3-2-c,2,3,1,0
M.cavernosa,3-2-d,2,1,0,0
M.cavernosa,3-2-d,2,2,NA,0
M.cavernosa,3-27-b,27,1,0,0
M.cavernosa,3-27-b,27,2,0.935563841,0
M.cavernosa,3-27-b,27,3,0.998488262,0
M.cavernosa,3-27-c,27,1,0,0
M.cavernosa,3-27-c,27,2,NA,0
M.cavernosa,3-27-c,27,3,0.999640797,0
M.cavernosa,3-27-d,27,1,0,0
M.cavernosa,3-27-d,27,2,1,0
M.cavernosa,3-27-d,27,3,1,0
M.cavernosa,3-28-a,28,1,0,0
M.cavernosa,3-28-a,28,2,1,0
M.cavernosa,3-28-a,28,3,1,0
M.cavernosa,3-28-b,28,1,0,0
M.cavernosa,3-28-b,28,2,1,0
M.cavernosa,3-28-b,28,3,1,0
M.cavernosa,3-28-c,28,1,NA,0
M.cavernosa,3-28-c,28,2,NA,0
M.cavernosa,3-28-c,28,3,0.99944882,0
M.cavernosa,3-39-a,39,1,0,0
M.cavernosa,3-39-a,39,2,0.066354601,0
M.cavernosa,3-39-a,39,3,0.24430684,0
M.cavernosa,3-39-b,39,1,0,0
