Species,Treatment,Core,Colony,Timepoint,Sym.Host,logSH,Y2,PropD,Batch,DHW,InitialDom,PropDAv,Shprop
M.cavernosa,Bleached,3-71-d,71,Post-bleach,6.85E-05,-4.16411437,2.93E-01,0,2,9.36,C,0.037037037,0.000275121
M.cavernosa,Bleached,3-71-d,71,Pre-bleach,0.248981677,-0.603832612,0.559,0,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-72-a,72,Post-bleach,0.035295094,-1.452285655,0.171,0,1,5.36,C,0.037037037,0.635075492
M.cavernosa,Bleached,3-72-a,72,Pre-bleach,0.055576218,-1.255111007,0.533,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-72-b,72,Post-bleach,0.008295884,-2.081137315,0.143,0,1,5.36,C,0.037037037,0.32907765
M.cavernosa,Bleached,3-72-b,72,Pre-bleach,0.025209503,-1.598435717,0.545,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-72-c,72,Post-bleach,0.000208395,-3.681111742,3.13E-01,0,2,7.86,C,0.037037037,0.02972161
M.cavernosa,Bleached,3-72-c,72,Pre-bleach,0.007011565,-2.154185021,0.565,0.043286258,2,0,C,0.001442875,1
M.cavernosa,Bleached,3-87-b,87,Post-bleach,0.008690238,-2.060968306,0.248,0,1,5.36,C,0.037037037,20.57041208
M.cavernosa,Bleached,3-87-b,87,Pre-bleach,0.000422463,-3.374211662,0.518,0,1,0,C,0.001442875,1
M.cavernosa,Bleached,3-87-c,87,Post-bleach,0,-6.5,3.24E-01,NA,2,7.86,C,0.037037037,0
M.cavernosa,Bleached,3-87-c,87,Pre-bleach,0.018973261,-1.721858016,0.549,0,2,0,C,0.001442875,1
