Species,Treatment,Core,Colony,Timepoint,Sym.Host.old,Sym.Host,logSH,Y2,PropD.old,PropD,Batch,DHW,Recov.Days,Date,InitialDom,PropDAv,Shprop
M.cavernosa,Bleached,3-39-b,39,Post-bleach,,0.009176193,,,,0,1,,0,,C,0.037037037,0.97198093
M.cavernosa,Bleached,3-39-c,39,Pre-outplant,0.24202914,0.022456123,-1.648665228,0.258,0.998789466,0.998789466,2,NaN,91,05/03/2020,C,0.938948279,0.625308998
M.cavernosa,Bleached,3-39-c,39,Recovery,0,0,-6.5,0.271,NaN,NA,2,NaN,31,06/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-39-c,39,Post-bleach,,0.000229552,,,,0,2,,0,,C,0.037037037,0.006392062
M.cavernosa,Bleached,3-39-d,39,Pre-outplant,0.425931106,0.039519048,-1.403193527,0.309,0.998831463,0.998831463,2,NaN,91,05/03/2020,C,0.938948279,2.537803752
M.cavernosa,Bleached,3-39-d,39,Recovery,0.04333182,0.004020444,-2.39572595,0.261,0.99064119,0.99064119,2,NaN,31,06/01/2020,C,0.439014519,2.58E-01
M.cavernosa,Bleached,3-39-d,39,Post-bleach,,0.000721662,,,,0,2,,0,,C,0.037037037,0.046343134
M.cavernosa,Bleached,3-67-b,67,Pre-outplant,0.262630051,0.024367531,-1.613188466,0.244,0.96319597,0.96319597,1,NaN,66,14/08/2019,C,0.938948279,1.775213297
M.cavernosa,Bleached,3-67-b,67,Recovery,9.26E-04,8.59E-05,-4.065828077,0.195,0,0,1,NaN,31,10/07/2019,C,0.439014519,6.26E-03
M.cavernosa,Bleached,3-67-b,67,Post-bleach,,0.008388401,,,,0,1,,0,,C,0.037037037,0.611108323
M.cavernosa,Bleached,3-67-c,67,Pre-outplant,0.065244729,0.006053584,-2.217987451,0.339,1,1,2,NaN,88,05/03/2020,C,0.938948279,0.220659501
M.cavernosa,Bleached,3-67-c,67,Recovery,0,0,-6.5,0.384,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-67-c,67,Post-bleach,,8.27E-06,,,,0,2,,0,,C,0.037037037,0.00030145
M.cavernosa,Bleached,3-67-d,67,Pre-outplant,0.102385837,0.009499637,-2.022292998,0.308,0.990972618,0.990972618,2,NaN,88,05/03/2020,C,0.938948279,2.541141176
M.cavernosa,Bleached,3-67-d,67,Recovery,0,0,-6.5,0.348,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-67-d,67,Post-bleach,,1.47E-05,,,,0,2,,0,,C,0.037037037,0.003932232
M.cavernosa,Bleached,3-68-a,68,Pre-outplant,0.012052742,0,-6.5,0.286,1,NA,1,NaN,50,14/08/2019,C,0.938948279,0
M.cavernosa,Bleached,3-68-a,68,Recovery,0,0,-6.5,0.29,NaN,NA,1,NaN,31,26/07/2019,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-68-a,68,Post-bleach,,0.000687245,,,,0,1,,0,,C,0.037037037,0.374101279
M.cavernosa,Bleached,3-68-c,68,Pre-outplant,0.009853429,0.000914228,-3.038945497,0.415,0.995272576,0.995272576,2,NaN,85,05/03/2020,C,0.938948279,0.0412412
M.cavernosa,Bleached,3-68-c,68,Recovery,0,0,-6.5,0.373,NaN,NA,2,NaN,31,12/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-68-c,68,Post-bleach,,7.77E-05,,,,0,2,,0,,C,0.037037037,0.003505079
M.cavernosa,Bleached,3-71-a,71,Pre-outplant,0.048872409,0.004534515,-2.343469139,0.309,0.963489697,0.963489697,1,NaN,66,14/08/2019,C,0.938948279,0.865468026
M.cavernosa,Bleached,3-71-a,71,Recovery,0.002166544,0.000201018,-3.696765302,0.353,0,0,1,NaN,31,10/07/2019,C,0.439014519,3.84E-02
M.cavernosa,Bleached,3-71-a,71,Post-bleach,,0.004989502,,,,0,1,,0,,C,0.037037037,0.952307898
M.cavernosa,Bleached,3-71-b,71,Pre-outplant,0.104694087,0.009713803,-2.012610729,0.24,0.980611304,0.980611304,1,NaN,66,14/08/2019,C,0.938948279,5.540976621
M.cavernosa,Bleached,3-71-b,71,Recovery,0.001048914,9.73E-05,-4.011793193,0.362,0,0,1,NaN,31,10/07/2019,C,0.439014519,5.55E-02
M.cavernosa,Bleached,3-71-b,71,Post-bleach,,0.001326749,,,,0,1,,0,,C,0.037037037,0.756808141
M.cavernosa,Bleached,3-71-c,71,Pre-outplant,0.017904986,0.001661273,-2.779558908,0.383,1,1,2,NaN,88,05/03/2020,C,0.938948279,0.371875977
M.cavernosa,Bleached,3-71-c,71,Recovery,0,0,-6.5,0.384,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-71-c,71,Post-bleach,,3.77E-05,,,,1,2,,0,,C,0.037037037,0.008439145
M.cavernosa,Bleached,3-71-d,71,Pre-outplant,0.015415283,0.001430272,-2.844581387,0.334,1,1,2,NaN,85,05/03/2020,C,0.938948279,0.005744487
M.cavernosa,Bleached,3-71-d,71,Recovery,2.07E-05,1.92E-06,-5.715923998,0.347,0,0,2,NaN,31,12/01/2020,C,0.439014519,7.71E-06
M.cavernosa,Bleached,3-71-d,71,Post-bleach,,6.85E-05,,,,0,2,,0,,C,0.037037037,0.000275121
M.cavernosa,Bleached,3-72-a,72,Pre-outplant,2.662136419,0.247000266,-0.607302578,0.313,0.994070908,0.994070908,1,NaN,66,14/08/2019,C,0.938948279,4.444351827
M.cavernosa,Bleached,3-72-a,72,Recovery,9.60E-04,8.91E-05,-4.050174517,0.337,0,0,1,NaN,31,10/07/2019,C,0.439014519,1.60E-03
M.cavernosa,Bleached,3-72-a,72,Post-bleach,,0.035295094,,,,0,1,,0,,C,0.037037037,0.635075492
M.cavernosa,Bleached,3-72-b,72,Pre-outplant,5.428106533,0.503634506,-0.297884523,0.292,0.99899969,0.99899969,1,NaN,66,14/08/2019,C,0.938948279,19.97796252
M.cavernosa,Bleached,3-72-b,72,Recovery,0.007120048,4.71E-05,-4.327423143,0.312,0.928775925,0,1,NaN,31,10/07/2019,C,0.439014519,1.87E-03
M.cavernosa,Bleached,3-72-b,72,Post-bleach,,0.008295884,,,,0,1,,0,,C,0.037037037,0.32907765
M.cavernosa,Bleached,3-72-c,72,Pre-outplant,0.520693092,0.048311323,-1.315951069,0.296,1,1,2,NaN,88,05/03/2020,C,0.938948279,6.890233921
M.cavernosa,Bleached,3-72-c,72,Recovery,0.027327649,0.002535534,-2.595930611,0.27,1,1,2,NaN,31,09/01/2020,C,0.439014519,3.62E-01
M.cavernosa,Bleached,3-72-c,72,Post-bleach,,0.000208395,,,,0,2,,0,,C,0.037037037,0.02972161
M.cavernosa,Bleached,3-87-b,87,Pre-outplant,0.030068823,0.004984317,-2.302394362,0.248,0.936332573,0.936332573,1,NaN,66,14/08/2019,C,0.938948279,11.79823322
M.cavernosa,Bleached,3-87-b,87,Recovery,0.001051591,9.76E-05,-4.010686205,0.18,0.256799866,0.256799866,1,NaN,31,10/07/2019,C,0.439014519,2.31E-01
M.cavernosa,Bleached,3-87-b,87,Post-bleach,,0.008690238,,,,0,1,,0,,C,0.037037037,20.57041208
M.cavernosa,Bleached,3-87-c,87,Pre-outplant,0.049206925,0.004565552,-2.34050666,0.252,1,1,2,NaN,88,05/03/2020,C,0.938948279,0.240630854
M.cavernosa,Bleached,3-87-c,87,Recovery,0,0,-6.5,0.33,NaN,NA,2,NaN,31,09/01/2020,C,0.439014519,0.00E+00
M.cavernosa,Bleached,3-87-c,87,Post-bleach,,0,,,,NA,2,,0,,C,0.037037037,0
